ID,NAME,GAME,TYPE,CHAPTER,LOCATION,DESCRIPTION,IMAGE,BLURB
272,Geyser,darkdawn,mercury,5,Snowdrift Shrine,Geyser can be found after sliding down a snowy hillside.,geyser,Blast an enemy with a waterspout.
273,Tinder,darkdawn,mars,5,Tonfon,Tinder can be found after using Slap on a sleeping man and walking on top of the boats.,tinder,Revive a downed ally without fail.
274,Foam,darkdawn,mercury,5,World Map (southwest of Tonfon),Foam can be found in a forest shrouded by the Grave Eclipse to the southwest of Tonfon.,foam,Reduce foes' Agility with tidal disturbance.
275,Flare,darkdawn,mars,5,Burning Island Cave,Flare can be found by solving a Thermal puzzle.,flare,Restore party PP with a psychic flare-up.
276,Simoom,darkdawn,jupiter,5,World Map (southern islands),Simoom can be found on the largest of the several deserted islands to the south of Angara.,simoom,Scourge foe with a poisonous wind.
277,Fugue,darkdawn,mars,5,Champa Camp,Fugue can be found hanging on a tree fruit.,fugue,Fatigue your foes to drop their PP.
278,Lull,darkdawn,jupiter,5,Otka Island,Lull can be found after obtaining the Search psynergy and using the whirlwind on the ocean to enter Otka Island.,lull,Negotiate a temporary cease-fire for a turn.
279,Ivy,darkdawn,venus,5,Passaj,Ivy can be found after finding the Old Rag and delivering it to the NPC in the inn.,ivy,Turn an enemy to stone.
280,Hemlock,darkdawn,venus,5,Yamata Ruins,Hemlock can be found after solving a teleportation puzzle.,hemlock,Use ominous flora to doom all enemies.
281,Aurora,darkdawn,mars,5,Apollo Sanctum,Aurora can be found while solving the puzzle in the Venus area.,aurora,"Speed party Djinn recovery with Sol's light,"
282,Azul,darkdawn,summon,5,Lost Ship,Azul can be found after obtaining the Search psynergy and defeating the Star Magician.,azul,An awakened dragon from the deep.
283,Daedalus,darkdawn,summon,5,Burning Island Cave,Daedalus can be found after obtaining the Sol Blade and defeating the Ogre Titans.,daedalus,Master craftsman of ancient times.
284,Catastrophe,darkdawn,summon,5,Otka Island,Catastrophe can be found after obtaining the Sol Blade and defeating the Ancient Devil.,catastrophe,The embodiment of destruction.
285,Charon,darkdawn,summon,5,Crossbone Isle,Charon can be found after finishing the game and reaching the depths of Crossbone Isle.,charon,The boatman of the river Styx.
286,Iris,darkdawn,summon,5,Crossbone Isle,Iris can be found after finishing the game and defeating Dullahan.,iris,"Goddess of rainbows, guide of souls."
